id_speaker	nome	cognome	sesso	legislatura	inizioMandato	fineMandato	tipoMandato	tipoFineMandato	dataNascita	cittaNascita	cittaNascita_geoname	provinciaNascita	nazioneNascita	idCamera	url_scheda
28576	Claudio	De Vincenti	M				other		1948-10-28	Roma	https://www.geonames.org/3169069	Roma	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00028576.htm
30753	Barbara	Degani	F				other		1966-08-11	Torino	https://www.geonames.org/3165523	Torino	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030753.htm
22973	Sandro	Gozi	M	17	2013-03-15	2018-03-22	deputato		1968-03-25	Sogliano al Rubicone	https://www.geonames.org/3166458	Forlì-Cesena	Italia	http://dati.camera.it/ocd/persona.rdf/p302128	http://www.senato.it/leg/17/BGT/Schede/Attsen/00022973.htm
30109	Cosimo Maria	Ferri	M	18	2018-03-23		deputato		1971-04-17	Pontremoli	https://www.geonames.org/3170191	Massa-Carrara	Italia	http://dati.camera.it/ocd/persona.rdf/p306549	http://www.senato.it/leg/17/BGT/Schede/Attsen/00030109.htm
29295	Maria Elena	Boschi	F	17	2013-03-15	2018-03-22	deputato		1981-01-24	Montevarchi	https://www.geonames.org/3172718	Arezzo	Italia	http://dati.camera.it/ocd/persona.rdf/p306160	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029295.htm
29295	Maria Elena	Boschi	F	18	2018-03-23		deputato		1981-01-24	Montevarchi	https://www.geonames.org/3172718	Arezzo	Italia	http://dati.camera.it/ocd/persona.rdf/p306160	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029295.htm
25522	Sabrina	De Camillis	F				other		1969-08-23	Larino	https://www.geonames.org/3175105	Campobasso	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00025522.htm
22961	Gian Luca	Galletti	M				other		1961-07-15	Bologna	https://www.geonames.org/3181927	Bologna	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00022961.htm
1641	Enrico	Morando	M				other		1950-09-30	Arquata Scrivia	https://www.geonames.org/3182803	Alessandria	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00001641.htm
25563	Pier Paolo	Baretta	M	17	2013-03-15	2018-03-22	deputato		1949-06-29	Venezia	https://www.geonames.org/3164600	Venezia	Italia	http://dati.camera.it/ocd/persona.rdf/p302857	http://www.senato.it/leg/17/BGT/Schede/Attsen/00025563.htm
30751	Vito	De Filippo	M	18	2018-03-23		deputato		1963-08-27	Sant'Arcangelo	https://www.geonames.org/3167374	Potenza	Italia	http://dati.camera.it/ocd/persona.rdf/p306663	http://www.senato.it/leg/17/BGT/Schede/Attsen/00030751.htm
25472	Maria Anna	Madia	F	17	2013-03-15	2018-03-22	deputato		1980-09-05	Roma	https://www.geonames.org/3169069	Roma	Italia	http://dati.camera.it/ocd/persona.rdf/p302789	http://www.senato.it/leg/17/BGT/Schede/Attsen/00025472.htm
25472	Maria Anna	Madia	F	18	2018-03-23		deputato		1980-09-05	Roma	https://www.geonames.org/3169069	Roma	Italia	http://dati.camera.it/ocd/persona.rdf/p302789	http://www.senato.it/leg/18/BGT/Schede/Attsen/00025472.htm
